City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Vila Velha,BR,-20.3297,-40.2925,68.95,93,75,3.44,broken clouds
109,Takoradi,GH,4.8845,-1.7554,72.9,79,33,6.51,scattered clouds
110,Ancud,CL,-41.8697,-73.8203,40.23,92,100,5.28,overcast clouds
111,Kroya,ID,-7.6331,109.2461,80.94,70,96,13.11,overcast clouds
112,Yatou,CN,37.15,122.3833,80.51,69,34,8.19,scattered clouds
113,Devils Lake,US,48.1128,-98.8651,69.78,72,0,9.22,clear sky
114,Xichang,CN,27.8964,102.2634,77.05,71,100,3.04,overcast clouds
115,Chernushka,RU,56.5072,56.0766,64.24,76,4,4.23,clear sky
116,Aklavik,CA,68.2191,-135.0107,70.09,50,88,10.27,overcast clouds
117,Hobart,AU,-42.8794,147.3294,57.06,66,20,12.66,few clouds
118,Punta Arenas,CL,-53.15,-70.9167,32.11,86,20,16.11,few clouds
119,Saint George,US,37.1041,-113.5841,102.79,13,0,9.22,clear sky
120,Lompoc,US,34.6391,-120.4579,65.79,90,100,11.5,mist
121,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,2.3,broken clouds
122,Ndele,CF,8.4109,20.6473,66.79,99,100,1.97,moderate rain
123,East London,ZA,-33.0153,27.9116,54.54,87,0,6.91,clear sky
124,Knysna,ZA,-34.0363,23.0471,53.4,59,56,5.57,broken clouds
125,Cherskiy,RU,68.75,161.3,46.78,41,99,14.38,overcast clouds
126,Lincoln,US,40.8,-96.667,82.31,65,0,12.66,clear sky
127,Belyy Yar,RU,53.6039,91.3903,67.89,64,0,6.71,clear sky
128,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,57,0,13.8,clear sky
129,Talnakh,RU,69.4865,88.3972,65.21,54,26,11.92,scattered clouds
130,Fairbanks,US,64.8378,-147.7164,66.54,60,75,6.91,light rain
131,Ponta Do Sol,PT,32.6667,-17.1,68.63,77,10,6.93,clear sky
132,Georgetown,MY,5.4112,100.3354,89.55,71,20,4.61,few clouds
133,Severo-Kurilsk,RU,50.6789,156.125,53.02,95,100,22.82,moderate rain
134,Si Racha,TH,13.1737,100.9311,89.29,62,100,6.62,overcast clouds
135,Ouidah,BJ,6.3631,2.0851,76.86,79,96,9.28,overcast clouds
136,Suzhou,CN,31.3114,120.6181,91.8,58,23,6.08,few clouds
137,Thompson,CA,55.7435,-97.8558,60.96,94,100,4.61,overcast clouds
138,Bethel,US,41.3712,-73.414,81.48,81,23,4.29,few clouds
139,Fayetteville,US,35.0527,-78.8784,81.12,80,0,8.05,clear sky
