City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Quang Ngai,VN,89.73,broken clouds,15.1167,108.8,Central Hotel
579,Jian,CN,96.04,few clouds,27.1172,114.9793,Luling International Hotel
584,Kimbe,PG,85.19,light rain,-5.5502,150.1429,Kimbe Bay Hotel
589,Villalba,PR,81.21,overcast clouds,18.1272,-66.4921,LAS MERCEDES
601,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
604,Coahuayana,MX,79.81,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
606,Namie,JP,77.54,overcast clouds,37.4833,141.0,いこいの村なみえ
607,Brownsville,US,84.15,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
608,Kipit,PH,85.3,broken clouds,8.0461,122.5322,Landahan ni Nonong
609,Bontang,ID,85.78,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
610,Rio Grande City,US,84.11,clear sky,26.3798,-98.8203,La Borde House
612,Shenzhen,CN,93.85,clear sky,22.5455,114.0683,Grand Skylight
616,Tabuk,PH,89.62,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
618,Sulangan,PH,84.56,overcast clouds,11.1373,123.7228,Maia's Beach Resort
626,Tangi,PK,80.6,overcast clouds,34.3006,71.6536,White light hair dresser tangi sudiar khan
630,Hami,CN,86.88,clear sky,42.8,93.45,Laoyutang Resort
634,Revelstoke,CA,78.82,clear sky,50.9832,-118.2023,Best Western Plus Revelstoke
636,Pringsewu,ID,85.05,overcast clouds,-5.3582,104.9744,Urban Style by Front One
642,Turbat,PK,84.96,broken clouds,26.0023,63.044,Mubashar Quarters
643,Tura,IN,81.46,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
644,Kudahuvadhoo,MV,81.0,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
647,Taitung,TW,89.87,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
655,Semnan,IR,89.31,clear sky,35.5729,53.3971,Semnan Tourist Hotel
658,Longyan,CN,97.57,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
660,Norfolk,US,78.35,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
661,Conakry,GN,76.5,moderate rain,9.538,-13.6773,Riviera Royal Hotel
662,Sedona,US,89.35,clear sky,34.8697,-111.761,Amara Resort and Spa
665,Havelock,US,84.18,broken clouds,34.8791,-76.9013,Sherwood Motel
667,Sinnamary,GF,77.22,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
669,Qui Nhon,VN,84.25,broken clouds,13.7667,109.2333,Seagull Hotel
671,San Pedro,PH,88.32,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
674,Fare,PF,76.78,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
675,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
678,New Iberia,US,83.08,few clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
679,Mogadishu,SO,75.72,light rain,2.0371,45.3438,Hotel Juba
